French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
frère,brother
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
vieux,old
sois,be
matin,morning
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
gros,large
filles,girls
jouer,to play
